Timestamp,Page Handle (e.g. @johndoe),"Theme (e.g. pets, parenting)",Timezone,What should NEVER be posted? (e.g. politics),"Core Goal (e.g. celebrate grandkids, nostalgia, tell jokes)","Content Focus (e.g. relatable quotes, family life)","Audience (e.g. pet owners, grandparents, new parents)"
,@RememberWhen,60s-90s Nostalgia and Throwbacks,Western US (PST),no politics,Reminisce and invoke feelings of longing or nostalgia,"Relatable and funny quotes; to engage with a community, spark discussions.",Late Boomers to Millenials
